City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,54,75,4.0,RU,1738043458
83,kone,-21.0595,164.8658,29.2,65,96,2.21,NC,1738043459
84,chinde,26.8212,87.7095,22.13,39,0,3.18,NP,1738043460
85,ribeira grande,38.5167,-28.7,17.1,85,35,8.49,PT,1738043462
86,thompson,55.7435,-97.8558,-17.91,85,100,1.54,CA,1738043463
87,uturoa,-16.7333,-151.4333,27.8,75,2,6.91,PF,1738043464
88,mount gambier,-37.8333,140.7667,19.7,51,10,5.32,AU,1738043409
89,selfoss,63.9331,-20.9971,-2.96,94,100,3.67,IS,1738043467
90,punta arenas,-53.15,-70.9167,10.06,76,75,13.38,CL,1738043468
91,yeniseysk,58.4497,92.1703,-18.92,88,67,4.79,RU,1738043469
92,oranjemund,-28.55,16.4333,17.9,87,97,2.57,NA,1738043470
93,swakopmund,-22.6833,14.5333,18.97,88,46,2.52,NA,1738043472
94,kolonia,50.9333,6.95,8.13,84,75,4.63,DE,1738043473
95,remire-montjoly,4.9167,-52.2667,24.02,100,20,1.03,GF,1738043474
96,chililabombwe,-12.3648,27.8229,18.36,93,100,3.23,ZM,1738043475
97,suncho corral,-27.9336,-63.4294,27.9,62,36,7.16,AR,1738043476
98,lubang,13.8584,120.124,26.81,73,100,9.52,PH,1738043478
99,kurchum,48.5722,83.6542,-12.86,73,100,0.58,KZ,1738043479
100,ust-nera,64.5667,143.2,-38.82,92,6,3.22,RU,1738043480
101,kuching,1.55,110.3333,26.12,96,40,2.24,MY,1738043451
102,grand falls-windsor,48.9332,-55.6649,-5.83,80,77,1.34,CA,1738043483
103,osakarovka,50.565,72.5692,-16.34,97,70,4.76,KZ,1738043484
104,west island,-12.1568,96.8225,30.99,79,75,5.14,CC,1738043485
105,geraldton,-28.7667,114.6,41.23,18,94,10.29,AU,1738043487
106,laguna,38.421,-121.4238,7.79,69,0,3.6,US,1738043488
107,walvis bay,-22.9575,14.5053,18.15,92,25,3.08,NA,1738043489
108,ha'il,27.5219,41.6907,6.01,100,0,3.09,SA,1738043490
109,shar,49.5886,81.0453,-9.86,85,100,2.78,KZ,1738043492
110,vilyuchinsk,52.9306,158.4028,-3.85,88,100,1.71,RU,1738043493
111,magadan,59.5667,150.8,-24.59,71,0,2.04,RU,1738043494
112,plymouth,41.8334,-70.8328,5.03,63,0,9.77,US,1738043496
113,henderson,36.0397,-114.9819,7.51,40,0,4.63,US,1738043497
114,jalai nur,49.45,117.7,-16.85,85,97,2.11,CN,1738043498
115,port douglas,-16.4833,145.4667,27.09,85,100,2.38,AU,1738043499
116,kingston,17.997,-76.7936,25.53,78,20,3.09,JM,1738043502
117,jamestown,42.097,-79.2353,-3.32,95,100,8.75,US,1738043503
118,edinburgh of the seven seas,-37.0676,-12.3116,18.45,90,100,6.07,SH,1738043505
119,tangzhai,34.4328,116.5911,3.6,20,0,2.89,CN,1738043506
